Category,Category_Description,Column,Description
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Lighting_solar energy(%),Percentage of households using solar energy per county
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Lighting_paraffin lantern(%),Percentage of households using paraffin lantern lamp per county
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Lighting_paraffintin lamp(%),Percentage of households using paraffin tin lamp per county
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Lighting_paraffin pressure lamp(%),Percentage of households using pressure paraffin lamp per county
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Lighting_fuel wood(%),Percentage of households using wood fuel per county
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Lighting_gas lamp(%),Percentage of households using gas lamp per county
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Lighting_battery lamp/torch(%),Percentage of households using battery lamp/torch per county
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Lighting_candles(%),Percentage of households using candles per county
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Lighting_biogas(%),Percentage of households using biogas per county
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Lighting_other(%),Percentage of households using other sources per county
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Lighting_not stated(%),Percentage of households with lighting sources not stated
Energy,"Energy is defined as power derived from the utilization of physical or chemical resources, especially to provide light and heat or to work machines. In Kenya, oil remains by far the dominant fuel in end-use sectors. Other types of energy sources include electrical energy of which 52.1% comes from hydro, 32.5% of the fuel from the fossil, 13.2% is through geothermal, 1.8% of biogas generation, and 0.4% of wind. Firewood is also used by many households in the rural areas of Kenya. The data presented in this category includes the use of energy sourced from different products for specific uses ",Lighting_number of households ('000),Total number of households with access to any of these sources of energy
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate.",County,Name of the county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Men_can read a whole sentence,Percentage of men who can read a whole sentence per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Men_can read part of a sentence,Percentage of men who can read part of a sentence per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Men_cannot read at all,Percentage of men who cannot read at all per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Men_blind/visually impaired,Percentage of men who are visually impaired per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Men_percentage literate,Percentage of men who are literate per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Women_can read a whole sentence,Percentage of women who can read a whole sentence per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Women_can read part of a sentence,Percentage of women who can read part of a sentence per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Women_cannot read at all,Percentage of women who cannot read at all per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Women_blind/visually impaired,Percentage of women who are visually impaired per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Women_percentage literate,Percentage of women who are literate per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Literacy,Overall literacy per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Men_no education,Percentage of men with no formal education per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Men_some primary,Percentage of men with some primary education per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Men_completed primary,Percentage of men who have completed primary education per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Men_some secondary,Percentage of men with some secondary education per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Men_completed secondary,Percentage of men who have completed secondary education per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Men_more than secondary,Percentage of men who have more than secondary education per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Men_median years completed,Men median years of education completed per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Women_no education,Percentage of women with no formal education per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Women_some primary,Percentage of women with some primary education per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Women_completed primary,Percentage of men who have completed secondary education per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Women_some secondary,Percentage of women with some secondary education per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Women_completed secondary,Percentage of women who have completed secondary education per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Women_more than secondary,Percentage of women who have more than secondary  education per county
Literacy,"The KDHS defined literacy as being able to read all or part of a sentence. According to National Bureau of Statistics-Kenya and ICF International (2015), almost all men (97%) and 88% of women aged 15-49 are literate.  88% of women aged 15-49 are literate. Among young women aged 15-24, 93% are literate. The majority of Kenyan counties, a total of 29, have literacy rates greater than 90% among young women",Women_median years completed,Women median years of education completed per county
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",County,Name of the county
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Children_h4a percentage below -3 sd,Severely stunted: Height for age (anthropometric indices for malnutrition): Percentage of children below 3 SD
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Children_h4a percentage below -2 sd2,Moderately or severely stunted: Height for age (anthropometric indices for mulnutrition): Percentage of children below 2 SD
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Children_h4a mean z-score (sd),Stunted: Height for age (anthropometric indices for mulnutrition): Percentage of children with a non-flagged height for age score 
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Children_w4h percentage below -3 sd,Severely wasted: Weight for height (anthropometric indices for malnutrition): Percentage of children below 3 SD
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Children_w4h percentage below -2 sd2,Moderately or severely wasted: Weight for height (anthropometric indices for malnutrition): Percentage of children below 2 SD
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Children_w4h percentage above +2 sd,Overweight: Weight for height (anthropometric indices for malnutrition): Percentage of children above 2 SD
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Children_w4h mean z-score (sd),Mean z-score for weight for height (anthropometric indices for malnutrition): Sum of the z-scores of children with a non-flagged weight for height score  
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Children_w4a percentage below -3 sd,Severely underweight: Weight for height (anthropometric indices for malnutrition): Percentage of children below 3 SD
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Children_w4a percentage below -2 sd2,Moderately underweight: Weight for age (anthropometric indices for malnutrition): Percentage of children below 2 SD
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Children_w4a percentage above +2 sd,Overweight for age: Weight for age (anthropometric indices for malnutrition): Percentage of children above 2 SD
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Children_w4a mean z-score (sd),Mean z-score for weight for age: Weight for age (anthropometric indices for malnutrition): Percentage of children with a non-flagged weight for age score 
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Number of children,Total number of children per county
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Womenh percentage below 145 cm,Height: Percentage of women with height below 145 cm per county
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Womenh number of women,Height: Total number of women per county
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Womenbmi mean body mass index (bmi),"Mean BMI: Average BMI per county for non-pregnant, non-postpartum women aged 15-49 "
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",18.5-24.9 (total normal),BMI: Percentage of women with normal BMI
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Womenbmi <18.5(total thin),BMI: Percentage of women with thin BMI
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Womenbmi 17.0-18.4 (mildly thin),BMI: Percentage of women with mild thin BMI
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Womenbmi <17 (moderately and severely thin),BMI: Percentage of women with moderate and severely thin BMI
Nutrition,"The 2014 KDHS measures children's nutritional status by comparing height and weight measurements against an international reference standard. Underweight or too thin for age is a composite indicator of nutritional status that takes into account both acute and chronic malnutrition. Overall, 11% of Kenyan children are underweight",Womenbmi =25.0 (total overweight or obese),BMI: Percentage of women with overweight or obesity
