ID,County,Value chain,Value chain stage,Hazard,Severity,Consequences,Ongoing adaptations,Potential adaptations
16,Baringo,Maize,Input supply,Uncertainty in start of growing season,Major,"Conflict in the type of information delivered to farmers, untimely sourcing, stocking and delivery of inputs, untimely planning of agricultural trainings","Use of indigenous technical knowledge(ITK) especially the traditional weather forecast, planting of uncertified seeds, disseminate information through bazaars","Intergration of ITK with scientific weather forecasting, timely supply of subsidized seeds/inputs, using bulletins and radios for sharing of extension information, employment of more extension staff"
17,Baringo,Maize,Market,Moisture stress,Major,"Low quality grains affecting pricing and ultimate marketability, reduced volumes available to be transported to millers, low income for farmers","Produce sold at farm gate due to low volumes, selling to local consumers/consumed at household level","Formation of marketing groups and cereal banking, capacity building, diversification of product lines i.e to make other products such as animal feeds, poultry feed"
18,Baringo,Dairy cow,Market,Moderate increase in temperature,Major,"Increase in market demand, increase in price, decrease in sales of raw milk","Creation of groups to advocate for farmers, cooperatives societies merge, sale of raw milk","Revisit policy control on prices, strengthen cooperative societies, sale of pasteurised milk, capacity building"
19,Baringo,Indigenous chicken,Market,Drought spell,Major,"Low market prices as a result of reduced weight, low profit margin due to increased feed prices, low offtake rate due to low production level","Farm gate sales to middlemen, home consumption","Enhance marketing information systems, formation of poultry cooperatives, promote flock planning, encourage group marketing, contract chicken and egg farming"
20,Baringo,Maize,On farm,Uncertainty in start of growing season,Major,"Untimely land preparation hence affecting the overall yield, conflicting information on the most appropriate time for land preparation, poor crop density due to poor germination hence affecting yield and  the entire crop management practices","Proper land preparation -planting at onset of rains , farmers use itk on weather forecast to make decisions during land preparation, replanting and gapping to ensure high plant density","Provision of subsidised ploughing machinery for land preparation, timely dissemination of information and closer to the farmers, install more weather stations, use of certified seeds, use of early maturing and drought tolerant varieties"
21,Baringo,Maize,Post harvest,Uncertainty in start of growing season,Major,"Untimely preparation/cleaning of the store in readiness for harvest, pricing of the commodity could also be affected, low quality and volumes for processing, low quality of produce available for processing","Diversify to other food crops such as pulses, use of local granaries, sell their produce to brokers who bulk the produce","Promotion of traditional high value crops, provision of metal silos and hermetic bags, promotion/development of cereals banks"
22,Baringo,Dairy cow,Input supply,Moderate increase in temperature,Major,"Increased outbreak of disease hence demand for veterinary services will be higher, reduction in feed availabilty","Use of indigenous knowledge such as use of herbal medicine, use of farm by products as feeds","Training of farmers on community animal health management, veterinary drug subsidies, pasture conservation, provision of subsidised artificial insemination services, drugs and other inputs "
23,Baringo,Dairy cow,Input supply,High decrease in rainfall in the 1st season,Moderate,Increase in disease oubreak and demand for veterinary services reduction in feeds,"Adoption of indigenous and traditional knowledge to (use of herbal medicine), using farm by products e.g maize stalks, waiting for favourable season for cows to come on heat","Boosting capacity building, subsidizing drugs, train local veterinary services, on farm feed formulation, pasture conservation and management"
24,Baringo,Indigenous chicken,Market,High temperatures,Major,"Lower pricing due to low quality production, low off take, higher transportation costs","Farm gate sales to intermediaries, informal transportation e.g bodaboda","Establish a market information centre, encourage bulking and group selling, capacity building on efficient production, contract farming, efficient production, encourage group marketing"
25,Baringo,Indigenous chicken,On farm,Drought spell,Moderate,"Poor body condition of the chickens make reponse to vaccines low, low feed availability , low feeding tendency by the chicken thus low production, cleaning becomes difficult due to dust, extension officers are assigned emergency related cases hence little time left for extension services","Postpone vaccination, periodic cleaning of chicken enclosures, destocking","Supplementary feed production and feed conservation, design and promote dust resistant free chicken enclosures, capacity building on good housing"
26,Baringo,Indigenous chicken,Input supply,High temperatures,Major,"Low attendance at trainings by farmers, low hatchability of chicks thus low available stock, less movement and less interaction of extension officers with farmers","Scheduling training in cool hours of the day and at common gathering grounds, use of shaded chicken structures with proper air circulation, outsourcing of chicks from neighbouring counties","Develop fixed schedule of afternoon extension activities, capacity building on raised ventilated chicken enclosure construction, encourage use of incubators"
27,Baringo,Maize,Post harvest,Moisture stress,Severe,"Ensures proper drying of produce but can enhance pest infestation, poor quality of produce available for processing","Early harvesting, use of indigenous methods to produce preservation ash/actellic ,the produce is manually sorted and graded","Use of subsidies, presevation chemicals, provision of maize dryers and graders"
28,Baringo,Goat (meat),Post harvest,Moderate increase in temperature,Moderate,"Delayed slaughtering process, ease of transport due to road accessibility","Sales in informal markets, trekking of goats to markets, slaughter at markets, slaughter of weak stock","Encourage use of auction yards for sales, development of modern slaughterhouses/abbartoirs/slabs, enforcement of slaughter sanitary standards, meat value addition e.g drying"
29,Baringo,Goat (meat),On farm,Moderate increase in temperature,Moderate,"Decreased productivity as goats will not come on heat uniformly, reduced availability of browse for the goats","Exchange of bucks with the neighbors, use of traditional dry season grazing zones, use of stored acacia pods as feeds, kids and lambs are separated keeping them in shed, use of thatched feed enclosures, social points for dips and watering","Promotion of local breeds e.g purchase of local galla breed, modernization and strengthening of remote improvement centres , planting of forage trees/ reseeding of rangelands, commercial fodder production, capacity building on proper/ modern housing for goats"
30,Baringo,Goat (meat),Post harvest,Moderate decrease in intense rain,Moderate,"Ease of collection of the goats for marketing, decline number of goats to be slaughtered","Goat hawking, sale at homestead/farmgate, trekking of goats to the market, use of local slaughterhouses","Centralize offtake points of goats, establish modern slaughter houses/slabs, value addition for goat meat(e.g.drying)"
31,Baringo,Dairy cow,Market,High decrease in rainfall in the 1st season,Major,"Market dictates prices (processors), decreased volume of milk marketing","Sale of raw milk to open market, widening the scope of milk collection, farmers increase milk prices","Merging cooperatives to accomodate low volume of milk, promotion of cottage industries to increase value addition to farmers"
32,Baringo,Indigenous chicken,Input supply,Drought spell,Moderate,"Low attendance of farmers trainings organized by extension officers, reduction in supply/availability of construction materials, low availability of feeds resulting to less eggs and chicks","Scheduling of the activity in cool periods of the day, outsourcing feeds from neighbouring counties","Proper scheduling of the extension activities to be held in late afternoons, using alternative modes on information dissemination proper designing of poultry structures, well aerated, correct choice of construction materials encourage use of incubators, proper housing to enhance good ventilation design"
33,Bomet,Sweet potatoes,Post harvest,Droughts/Moisture stress,Moderate,"Reduced production: low volume available for transport to the market/making transportation expensive, reduced volumes for processing due to poor quality","Low quality produce is consumed at the household level, delayed harvesting","Establish cold storage facilities, farmers to be trained on appropriate pre and post harvest handling and storage, mechanized cleaning and sorting"
34,Bomet,Sweet potatoes,Market,Droughts/Moisture stress,Moderate,"Poor produce quality hard to promote small volumes and low prices, susceptibility to middlemen who pay low prices, high transport costs compared to product value","Sale to middlemen, sales from individual to individual",Collective marketing through cooperatives
35,Bomet,Banana,On farm,Moisture stress,Major,"Poor bunch formation, results to lower number and small sized fingers","Small scale irrigation using watering cans or buckets, mulching ","Use of appropriate technologies e.g irrigation, use of infield water conservation practices to conserve soil moisture e.g. pits, mulching, minimum tillage"
36,Bomet,Banana,Market,Moisture stress,Severe,"Prices are poor due to poor quality and quantity of the produce, difficulty to satisfy the market demand because of low supply and poor quality, possible future market loss due to inconsistent supply, accelerated fruit decay and ripening during transportation, low revenues and profits for farmers","Alternative market-local markets, enhance production to improve quality and bulking in group, individual sourcing of alternative products","Preservation to enhance good quality produce, enhance production and bulking, collective marketing through cooperatives"
37,Bomet,Banana,On farm,Late start of season,Major,"Delayed planting hence affecting market timing, some areas may experience hard pans, delayed weeding ","Postpone land preparation, delayed planting","Minimum tillage, reliance on weather advisories, use and adoption of appropriate technologies e.g early maturing varieties "
38,Bomet,Irish Potatoes,On farm,Intense rainfall,Moderate,"Cost of land preparation is higher and poor tilling, high incidences of diseases e.g late/early blight","Early land preparation to achieve good tilth, regular spraying with relevant fungicides, timely harvesting before rains","Use of appropriate technologies e.g conservation agriculture/herbicides, use of flood resistant/tolerant varieties, purchase appropriate machineries for harvesting potatoes"
39,Bomet,Sweet potatoes,Market,Unpredictable start of season,Minor,"Difficulty in collective marketing due to differences in maturing date and low quality produce, low prices due to low yield and quality",Quick sale of produce once it has been harvested in an uncoordinated manner between farmers,"Do synchronized harvesting to get the bulk produces, proper grading to be done in the marketing groups, collective marketing"
40,Bomet,Sweet potatoes,On farm,Droughts/Moisture stress,Moderate,"Hard tillage, delay of planting causes low production, low size, quality and strength of tubers","Communal hand land preparation, plant the sweet potato vines under the maize cover(intercropping), spread animal manure during the dry period to be absorbed in the onset of rains","Provision of subsidized tractor services by the county government, strive to do early land preparation when the soils are still wet, compost production to enhance soil fertility, reduce hard pans and improve water holding capacity, establish small scale irrigation, infield ridges for water conservation, use of drought resistant varieties"
41,Bomet,Sweet potatoes,Post harvest,Unpredictable start of season,Moderate,"Low volumes due to low production, expensive post harvest handling and storage costs","Produce goes to the local market instead of letting it stay on the farm because it will spoil quickly, farmers sell individually to brokers and in the local markets ",Proper sorting and grading of harvested crops
42,Bomet,Irish Potatoes,Market,Intense rainfall,Moderate,"Poor market linkages due to high transportation costs, no product promotion because of high yields as a result of high supply, more production hence market glut and low prices","Use of cartels, brokers and local markets to sell the produce, disposing at low prices at local markets, transportation by smaller vehicles or bodaboda when large roads are impassable","Use of social media to promote the produce, timely planting or alternative crops should be planted, the government to set up standard prices and control the same, improvement of road networks"
43,Bomet,Local chicken,Market,Increase in intense rain,Moderate,"Poor linkages caused by low supply of chicken and chicken products due to lowered brooding, impassable roads make marketing difficult",Individual sales at local markets or vendors,"Establish market information platfroms, organized marketing channels, improved road networks "
44,Bomet,Local chicken,Market,Droughts/Moisture stress,Moderate,Oversupply of chicken and chicken products: this leads to low market prices for the farmers,"Use of local chicken vendors, withholding sales for prime periods for chicken and chicken products, use of local social force","Establish market information platforms ,organize marketing channels and collective marketing, enhance promotional platforms"
45,Bomet,Banana,Input supply,Moisture stress,Major,"Delayed acquisition of planting materials, delayed acquisition of inorganic fertilizer till onset of rains, prolonged land preparation, digging of holes due to hard ground","Avail farm yard manure in good time and apply in the soil to await onset of rains, early tillage while ground is still soft to allow aeration ","Use of appropriate technologies e.g irrigation, to acquire farm yard manure early enough, mechanized land preparation, early land preparation"
46,Bomet,Banana,Market,Late start of season,Severe,"Missed market opportunities hence leading to low prices, unreliable markets, dishonored contracts hence loss of trust",NA,"Enhanced use of marketing information system, collective marketing"
47,Bomet,Sweet potatoes,Input supply,Unpredictable start of season,Moderate,Untimely sourcing of planting materials ,Use of available planting materials from previous crops or vines,"Establishment of enough bulking plots, farmers encouraged to have their on farm seed plots, county government and other service providers to do trainings early enough before the start of the season, organic manure should be made available long before the season starts, improved agro meterological information"
48,Bomet,Sweet potatoes,Input supply,Droughts/Moisture stress,Severe,"Reduced availability and quality of planting materials on bulking sites, shortage of planting materials","Get planting materials from previous crops/vines, source knowledge from other farmers, they spread manure during the dry season on their farms to be absorbed immediately during onset of rains","Establish their bulking/seed plots of improved varieties, form groups to easily access extension services, train farmers on compost making through groups"
49,Bomet,Irish Potatoes,On farm,Droughts/Moisture stress,Major,"Cost of land preparation is high due to need for use of machineries, emergence of new pests and diseases affecting the leaf surface area","Use of minimum tillage or conservation agriculture, encourage farmers to practice crop rotation to minimize pests/diseases build up, encourage piece meal harvesting (spreading the activity), incorporate organic manure to help conserve moisture","Training farmers on the importance of conservation agriculture to conserve soil moisture, use of agro-meteorological information to improve farm decision making"
50,Bomet,Banana,Post harvest,Late start of season,Moderate,NA,"Harvest crop early in the morning, immediate disposal of the produce ","Appropriate storage facilities, improved packaging with appropriate moisture/RH regulation, acquire stores in proximity to markets to facilitate/collective bulking"
51,Bomet,Irish Potatoes,Market,Droughts/Moisture stress,Moderate,"Interference from the middlemen hence prolonging the value chain and who pay low prices, product promotion is expensive","Organized well structured marketing systems, encourage exposure tours to other growing areas, formation of collection centres for the produce","Introducing value addition cottages, introducing of trade fair and exhibition to empower farmer groups, strengthening marketing and cooperatives to add value, contract farming to protect from total financial loss"
52,Bomet,Irish Potatoes,Post harvest,Droughts/Moisture stress,Major,"Low production hence expensive to transport to the market, reduced shelf life of the tubers hence reducing quality","Use  of high yielding certified varieties, proper sorting and grading to achieve quality tubers, use of right packaging materials during storage and transportation","Use of appropriate technology during sorting and grading, use of cold rooms/diffuse light stores (DLS), invest in value addition and processing facilities"
53,Bomet,Sweet potatoes,On farm,Unpredictable start of season,Moderate,"Wastage of inputs such as seed and fertilizer due to untimely application, difficulty in planning farm activities","Land is prepared as planting is done simultaneously, planting is delayed to coincide with the onset of rains","Land preparation to be done long before the onset of the planting season, bulking sites to be able to supply clean seeds throughout the year, early maturing and high quality varieties to be planted"
54,Bomet,Irish Potatoes,Input supply,Droughts/Moisture stress,Moderate,"Creation of hard pan during land preparation, inadequate supply of seeds, low quality seeds","Organic manure incoopration into the soil, use of reputable and accredited seed merchants, empowerment of farming groups and subsidizing inputs","Training farmers on the importance of conservation agriculture, policy enforcement by the government licensing the right seed sellers, formation of farmer cooperative societies and empowering"
55,Bomet,Irish Potatoes,Post harvest,Intense rainfall,Moderate,"High cost of transportation due to poor accessibility, difficulty in harvesting from water logged fields, poor sorting and grading hence required high and quality man power, high perishability during storage due to excess humidity and rotting of produce","Use of boda boda and donkeys available for transport, all gender are involved in sorting and grading, covering of products e.g grasses and polypapers, timing of harvesting to coincide with reduction in rains, harvested tubers are left to dry before selling/storage","Improve rural access roads, appropriate machineries should be purchased for sorting and grading, use of improved flood proof storage facilities"
56,Bomet,Irish Potatoes,Input supply,Intense rainfall,Moderate,"High infestation of pests and diseases hence expensive to control, inadequate clean seeds, infestation of pests and diseases, hampered transport of input supply","Use of IPM to control pests and diseases, training farmers on positive seed selection, carry over of planting materials","Use of organic pesticides to control pests and diseases, encourage farmers to use first generation certified seeds, further subsidies of input prices"
57,Bomet,Local chicken,Input supply,Increase in intense rain,Major,"Overstretched veterinary and extension services due to high disease prevalence, high chick mortality, feed spoilage due to high moisture",Sun drying of feeds to avoid losses,Use of modern feed storage facilities to protect from moisture
58,Bomet,Banana,Input supply,Late start of season,Moderate,"Wilting of suckers amounting to wastage, delayed acquisition of inputs, increased cost of storage","Use of irrigation-bucket irrigation, use of farm yard/organic manure, use of both family and casual labour","Use of intensive irrigation, train farmers in preparation and handling of composite manure in order to cut the cost of procuring, mechanization of farm operations"
59,Bomet,Local chicken,Post harvest,Droughts/Moisture stress,Major,"Reduced shelf life of eggs: due to high temperatures during the drought season the shelf life of the eggs is reduced, heat stress to chicken and eggs: description: occurs due to high temperatures and poor handling, reduced quality and size of eggs and chickens",Destocking,"Improve storage facilities and conditions, use recommended cages and facilities for transportation, establish modern collection centres with improved consitions for bulking eggs"
60,Bomet,Banana,Post harvest,Moisture stress,Minor,"Reduced weight, bulking quantity and value of product, less production/produce leading to high post harvest losses, increased cost of transportation in relation to product value",Spraying of water on harvested produce to reduce perishability and prolong freshness,"Appropriate storage facilities with appropriate moisture/RH regulation, bulking and storage in common facilities through cooperatives "
61,Bomet,Local chicken,Post harvest,Increase in intense rain,Moderate,"High incidences of diseases for chicken and contamination of eggs, storms can cause power cuts which affect cold storage facilities","Prompt disposal of chicken and grading of eggs faster, conveyance bulking in small quantities","Use of recommended storage facilities, mechanized cages and transportation equipment, establish bulking centres"
62,Bomet,Local chicken,On farm,Increase in intense rain,Severe,"Feed spoilage due to high moisture content, increased vaccination frequencies due to high incidences of diseases, contamination of chicken enclosures","Regular sundrying of the feeds, selective vaccination programs, irregular deworming, use of multiple and synchronized hatching","Proper feed storage/preservation, adopt modern management system like hatching and breeding systems that protect from water intrusion, regular sanitization of chicken enclosures"
63,Bomet,Local chicken,Input supply,Droughts/Moisture stress,Moderate,"Strained livestock extension/vet services: prevalance of pests, drought leads to increased external parasites e.g mites, fleas, feed shortage: this leads to low supply/access and high prices of the commodity","Use locally available crop/food residue, staggering the supply of chicks",Training on use of improved farm feed formulation and supplementation
64,Bomet,Local chicken,On farm,Droughts/Moisture stress,Moderate,"Shortage of feeds leads to malnutrition and low production perfomance, increased disease incidence, birds death","Use locally available feeds, use of indigenous traditional knowledge, use of homemade enclosures to protect chickens from outside weather",Improved hatcheries and chicken enclosures
65,Bungoma,Beans,Input supply,Moisture stress,Severe,"Inappropriate information or crop performance, inadequate information on the availability of appropriate seed quality, high prices of appropriate seed in the market",Integration of indigenous technical knowledge (ITK) and extension advisories ,"Enhanced linkage between extension and research, harmonization of extension and meteorological advisories, enhanced research in seed technology, policy for protection of seed producers, integration of Indigenous Technical Knowledge (ITK) and extension advisories, farmers associations for bulk purchase, e-voucher system"
66,Bungoma,Beans,Input supply,Variation in planting season/ uncertainty in rainfall patterns,Severe,"Extension services- inappropriate extension advisory to the client due to uncertainty, may affect yield potential due to crop viability, costs rise at rainfall onset ","Combination of indigenous knowledge and extension services, seed selection from the best performing seeds and use of hybrid varieties, intergration of ITK and extension services, composting farmyard manure","Enhanced linkage between extension and research, use of certified seeds and improve soil fertility, policy on pricing and value addition"
67,Bungoma,Beans,Market,Moisture stress,Severe,"Uncertainity in market planning and penetration, uncertainity in quality and quantity of produce to access market","Growing and selling, use of middlemen and farm gate selling, formation of policy  on pricing, value addition","Growing and selling, adopt warehousing receipting mechanism, farmer organization and e-commerce, mutual negotiations"
68,Bungoma,Beans,Market,Variation in planting season/ uncertainty in rainfall patterns,Severe,"Uncertain rainfall affects production and the target market, leads to uncertain volumes of production thus affecting pricing and penetration to new markets","Growing and selling, use of middlemen and selling at farm-gate, use of extension staff, mutual negotiations","Growing to sell (contract farming), cooperatives/farmer organizations, adopt warehouse receipting mechanism, farmers organizations, commodity exchange through e-commerce, group approach (farmers pulling together)"
69,Bungoma,Beans,On farm,Moisture stress,Severe,"Affects both methods and equipment unpredictably thus increasing service charges, uncertainity in farm plans, unclear planting calendar and inappropriate GAPs used, reduced crop performance and yield, unpredictable yields","Conventional methods with minimal soil testing and analysis, conventional tilling, conventional planning- intercropping, meteorological advisories, conventional harvesting","Enhance promotion of soil testing and analysis, enhanced conservation agriculture, enhanced use of meteorological advisories, enhance extension research linkages, irrigation agriculture and conservation agriculture, enhanced use of physiological indicators, cropping calendar, selective harvesting"
70,Bungoma,Beans,On farm,Variation in planting season/ uncertainty in rainfall patterns,Severe,"Uncertainty in planting and affects farm operations, affects physiological maturity which cause low quality/quantity yields","Minimal soil testing and analysis, intercropping, and use of animal power, traditional planting cycle as per the planting season, hand pulling","Need for policy on soil testing and analysis, enhanced farm mechanization, planting calendars designs, meteorological advisories, enhanced extension research linkages, mechanical harvesting"
71,Bungoma,Beans,Post harvest,Moisture stress,Severe,"Uncertainty in executing farm activities, renders farming unpredictable, cumbersome, time-wasting, and costly, quality and quantity are unpredictable, produce susceptible to aflatoxin and reduced shelf life, unpredictable storage charges and warehousing security","General sundrying, done manually by winnowing, conventional/traditional methods","Enhanced use of motorized driers, enhanced usage of hermatic bags, collapsible canvas, and enhanced warehousing storage (farmers aggregation)"
72,Bungoma,Beans,Post harvest,Variation in planting season/ uncertainty in rainfall patterns,Severe,"Unpredictable labour requirements, unpredictable quality of produce, sorting and grading becomes very cumbersome, poor quality of produce and high fluctuations of prices, uneven drying makes beans susceptible to aflatoxin contamination, low quality; and low pricing","Sun drying on canvas, spreading in well ventilated stores/structures, physical sorting and grading, gunny bags dressed with different chemical dust for protection, organic production, use of Indigenous Technical Knowledge (ITK)","Use of solar/diesel/ electric driers (motorized mobile driers), collapsible bags, enhanced use of hermatic bags and vacuum silos"
73,Bungoma,Cattle (milk),Input supply,Moisture stress,Major,"Negatively affects the choice, location and cost of land, affects pricing of feeds and planting materials, pricing of feeds and planting materials increased, influences acquisition of breeding stock, feed shortages impact the proper physiological functioning and body condition of breeding stock","People are engaged in afforestration activities to achieve 10% tree cover in order to increase chances of enhancing rainfall, this makes land attractive to buyers, farmers are applying simple irrigation techniques to ensure soil wetness for the nurseries and bulking sites, farmers are increasingly moving from extensive to intensive (zero-grazing) farming practices","Farmers to upscale afforestration to ensure 10% forest cover and enhance amount of rainfall, this makes land arable and more attractive for potential buyers, to upscale irrigation and conservation agriculture to improve water retention capacity of the soil, farmers practice climate smart livestock production using technologies like zero grazing"
74,Bungoma,Cattle (milk),Input supply,High temperatures,Major,"Affects choice of land because areas prone to high temperatures are less attractive for dairy farming hence few farmers will invest in such areas, dry areas e.g Sirisia and Bumula, high temperatures affect pasture and fodder production leading to increase in feed and input prices, fewer heifers come into heat, increased chances of calf loss","Farmers are moving from extensive to intensive dairy farming system to mitigate, adverse conditions like high temperatures, farmers are using irrigation and drought resistant pasture/fodder varieties, farmers use intensive livestock production systems including zero grazing that shields the breeding stock from high temperatures","Farmers to upscale and maintain intensive dairy farming technologies to mitigate against high temperatures, farmers to upscale to modern technology of nursery management and maintain resistant fodder/pasture varieties, farmers to upscale use of modern farming systems and computerized dairy management systems"
75,Bungoma,Cattle (milk),Market,Moisture stress,Minor-Major,"Low feeding leads to low quality dung harvest leading to less manure and biogas availability, during dry periods we have low production of milk, fodder, pasture and heifer hence not much is taken to the market","The farmers resort to irrigation, afforestration and composting of farm waste to supplement manure and biogas production, diversification into new pasture and fodder crops like brachiaria and other grasses which are drought resistant and value addition to milk, farmers are forming cooperatives in order to enjoy collective advantage thus increasing milk volumes and linkages","Farmers should embrace new technology in irrigation, composting to take advantage of the little feed available, use of new technology in bio-gas processing that utilizes small amounts of inputs, farmers to intensify diversification to new varieties of fodder and pastures which are resistant to low moisture condition, farmers to form more cooperatives to improve on linkages to markets and increase milk volumes"
76,Bungoma,Cattle (milk),Market,High temperatures,Minor-Major,"High temperatures lead to less feed production hence dung and biogas production is reduced, high temperatures cause withering and drying of pastures and fodder leadingto low milk and general farm productivity","Farmers are practising afforestration and composting of plant residues to supplement manure and biogas, farmers are diversifying into new fodder/pasture varieties in order to improve production during hot conditions, sell at farm gate, farmers are using conserved feeds to maintain milk production during high temperatures, farmers are forming and joining dairy cooperatives","Farmers to enhance composting technologies and explore alternative bio gas production from plant residues and wastes, farmers need to intensify diversification into new varieties of fodder and pastures to improve production during high temperatures conditions, they need to also practice milk value addition, farmers to enhance use of conserved and commercial feeds in order to increase milk volumes that can spur and sustain linkages, formation of more dairy cooperatives"
77,Bungoma,Cattle (milk),On farm,Moisture stress,Major,"It affects land preparation because of formation of hard pans, affects availability of feeds during dry periods affecting nutrition of the animal and its productivity","Farmers engage in afforestration actitivities to ensure that trees serve to attract rain and provide mild conditions which do not make soil lose water, they also build conservation structures to conserve moisture, farmers do engage in silage and hay making and commercial feeds to ensure availability of feeds throughout the season, farmers use conserved and commercial feeds, apply intensive farming to improve the nutrition and proper physiological functioning of the animals","Farmers to upscale afforestration and conservation structures to solve hard pan problems in land preparation, embrace modern technology on seed conservation to make feeds available throughout the season, silage making and hay making, upscaled use of modern technology in ""heat"" detection and hormone supplements to improve on fertility rates of the heifer and breeding stock"
