ID,County,Value chain,Value chain stage,Key activities,Who is involved,Input supply (key activities importance),Input supply (key activities location in the country)
25,Embu,Banana,Input supply,Planting materials,"nursery operators,farm sources",source of high quality planting materials for high level production,"JKUAT satelite nurseries,nursing,individual private nurseries,KARLO nurseries,on farm orchards"
26,Embu,Beans,Input supply,Seed acquisition,"from the farmers(very small % get from the seeds from the stockists), KARLO sell certified seeds",To get good quality seeds for production,"Locally where the farmers are -frmer to farmers,from local markets,KARLO -embu and katumani"
27,Embu,Dairy cow,Input supply,Feeds,"agrovet,farmers","it determines production,cow maintenance and health","market centres, on farm"
28,Embu,Maize,Input supply,Land,Farmers,cant produce maize without land,"entire embu county,minimal in the tea zones and lower zones(mbeere and the south),where they have resulted to other crops such as millet,green grams e.tc"
29,Nyandarua,Dairy cow,Input supply,Breeding,"farmers, inseminators, semen suppliers","improves existing breeds, increase production",all over the county
30,Nyandarua,Irish Potatoes,Input supply,seed procurement and selling,"farmers-both gender, agro dealers",To improve production and productivity,"throughout the county between farmers and seed multupliers, njabini, ATC"
31,Nyandarua,Local chicken,Input supply,capital-money the farmer gets from produce,"family members, chamas and financial institutions","its the first step to source raw materials i.e breed, housing and labor","family savings,saccos and community groups, across all the county"
32,Nyandarua,Peas,Input supply,procurement of seeds,farmers-both gender/transporters/stockists,to have seeds to plant,throughout the county and market centres
33,Meru,Banana,Input supply,appliacation of manure,farmers and transporters,to achieve highy yields and good quality,"within the farm,isiolo,tharaka,samburu"
34,Meru,Dairy cow,Input supply,vet services and drugs,"farmers/agrovets,animal health service providers(public and private),drug manufacturers,vet labs","disease control,productivity,treatment(curative),Breeding(AI)","farms,shopping centres,mobile providers,public vet officers,labs"
35,Meru,Maize,Input supply,seed systems,"seed companies,research institutions,agro input delares,GoK institutions agro input dealers",determine the yields quality and quantity,"urban and rural centres-meru,nkubu,maua,mikindani,mitunguu,nkubu"
36,Meru,Irish Potatoes,Input supply,seed supply,"certified seed producers,e.g kisima farm,clean seed producers,local seeds suppliers","access to certified seeds enhances productivity per unit area,local seeds is readily available to the local farmers but its highly infested with the diseases","buuri county,meru central sub county"
37,Garissa,Milk (Cattle/Goats),Input supply,"feed for livestock, fodder supplements, pastures","Farmers/Pastoralists, agrovets, community",farmers produce fodder on farms and feed animals. Supply essential supplements(salt licks). Give information on use. Regulate access and use,"riverine, county wide"
38,Garissa,Meat,Input supply,pasture/fodder production,"farmers/livestock owners, extension officers, agrovet socialists, livestock traders and researchers","increased productivity, increased/improved breed conditions, improved livestock, reduced mortality.","along the riverine belt, rainfed pasture, county wide"
39,Garissa,Fruits and Vegetables,Input supply,seed/planting material supply,"agrovets,local tree nurseries, NGOs, farmers",very important,Garissa
40,Garissa,Cereals,Input supply,land and water- land preparation,"community owned, individual farmers",Basic unit of production,"interland, riverline areas"
41,Homabay,Beans,Input supply,Seed,"agrovets,market,sales people,farmers",for the acquisition of planting material,"across the county,market centres,towns and homesteads"
42,Homabay,Maize,Input supply,Fertilizer,"farmers,agrovets,MoA",to maximise yields,state department of agriculture at the sub county offices
43,Homabay,Aquaculture (fish),Input supply,water,"farmers,fishermen,government,(beach management,Researchers)",fish must live in water,"KAbondo,kangwe,homabay,mbita,suba and ndhiwa"
44,Homabay,Local poultry,Input supply,Feeds,Farmers,growth and productivity,all over the county
45,West Pokot,Maize,Input supply,Land,"Farmers, landlords(leasor)",Factor of production,All sub county where there is sufficient rainfall
46,West Pokot,Goats,Input supply,Land,The local community(clans),It provides enough grazing field for the goats,"North pokot,Central pokot, West pokot, South pokot"
47,West Pokot,Cattle (milk),Input supply,Extension,"County government(CDVs,CDLP),NGOs(SNV)",impart knowlege to the farmers on management feeding etc,"Kapenguria,Lelan,Tapach"
48,West Pokot,Bulb onions,Input supply,Seed,"Local stockist-paves,agrovet, kenya seed-extension,bayer limited, Amiran","Supplies of seeds,extension services,crop protection","Ortum,muino,chester,parua,sina,chepararia"
49,Kwale,Local Poultry (meat),Input supply,Labour,"Family members,caretakers",Provision of  daily management routine,"Household level,collection centres, market centres, incubation centres"
50,Kwale,Maize,Input supply,Land,"Farmer,government,community","One who tills the land and makes decisions on his farm, is where all the activities shall take place","Dzombo ward,kikoneni/pongwe,vanga ward,shimba hills"
51,Kwale,Goat (meat),Input supply,Land,The head of the household,Source of feed/fodder and also for housing,The whole county(mainly in kinango sub county)
52,Kwale,Cowpeas,Input supply,Seed/planting material,"County government,local shops,neighbours,improved seeds from stockists","Food security, Income,Suitability of the climate(drought resistant crop)",Countywide
53,Tana River,Mango,Input supply,Seed/planting material,"Farmers, NGOs, CBOs,GoK","Replacing old trees, diversification,introduction of new varieties","At household level, at county level"
54,Tana River,Maize,Input supply,Seed,"farmers own seed, NDMA, stockists,Catholic Dioscece of Kenya, Red Cross, County Government, GAA","Pure to variety, certified, crop uniformity, high productivity","Irrigation Schemes(Bura,Hola), along the riverine, Kipini,Hurara"
55,Tana River,Green grams,Input supply,Seeds,"Farmers,Agrovets, Governments, NGOs, redcross, GAA,SP(samaritans purse)",Very important as family expriences difficulties in seed selection and availability,"Agrovets in the major toenships i.e. Hola,Bura and Garsen, comty government,GAA"
56,Tana River,Goat (meat),Input supply,Extension services,"Department of livestock production GAA, APHIA plus, Samaritan purse international, catholic diocese","increasing productivity and household food security-marketing, animal husbandry, feeding,value addition and products, restocking","Farm level, Workshops, Field days,Farm visits"
57,Kilifi,Poultry,Input supply,Feeds,"External supplies e.g millers, farmers(own farm formulation)","Quick generation of HH income, nutritional purposes i.e provision of white meat and eggs, cultural purposes considered visitors,must have livestock",Major trading centres across the subcounties
58,Kilifi,Dairy cow/ goat,Input supply,Vet services,"Vet department,agrovet,paravet individuals, private practioners","Prevention of diseases,increased production/income","ward/sub county/county,farm level"
59,Kilifi,Cassava,Input supply,Land,"Farmer.lessor,investor",Important Factor of production,Whole county
60,Kilifi,African Bird eye chilli,Input supply,Seeds,"Equator kenya malindi,own farm/farmers produce for themselves from the previous crops",The seeds are sowed by the farners which will in turn provide the farmers with adequate crop for selling to uplift their living standards/alleviate poverty,"Kilifi for own seed production,Malindi for company preparation,equator kenya limited"
61,Baringo,Dairy cow,Input supply,Veterinary services,County government/private,To improve health of the cattle,Across the county
62,Baringo,Maize,Input supply,Extension,"MoALF, Kenya seed/KEPHIS, agrochemical,farmers individual","Information dissemination on input sourcing, input type and variety and productivity","Individual farmers countywide, organized groups, farmer societies countywide"
63,Baringo,Goat (meat),Input supply,Dipping,"Owner and dip attendant, Department of veterinary services",Control of external parasites hence prevent diseases,"Mogotio, Emining, Marigat, Chemolingot"
64,Baringo,Indigenous chicken,Input supply,Extension,Government extension officers,Farmers need to be well informed on best management practices,Countywide: community and household level
65,Bomet,Banana,Input supply,Acquisition of planting materials,"Farmers, Tissue culture nurseries","Obtain quality, disease free planting material","Bomet east sub county, Kembu, At farm level"
66,Bomet,Irish Potatoes,Input supply,Selection of clean land free from pest and diseases e.g bacterial wilt,"Farmer, extension officers, KEPHIS, KALRO",To reduce/avoid incidences of pests and diseases hence high yields,Extension services are available at the county. Soil testing is unavailable
67,Bomet,Local chicken,Input supply,Extension/veterinary services,Livestock extension agents,Dissemination of technical skills to improve production and productivity and a healthy flock,Whole county at farm level
68,Bomet,Sweet potatoes,Input supply,Planting materials,"Farmers, MoA and KALRO",Provision of improved varieties. Clean planting materials,ATC-Bomet. Established farmer bulking sites
69,Elgeyo Marakwet,Beans,Input supply,Acquisition of fertilizer,Service providers: Large scale. Suppliers: All. Farmers: Small-scale. Processors: N/A. Wholesalers/retailers: N/A,For improved yields and crop health,"NCPB stores (Eldoret, Kapsowar), Farmers cooperatives, Urban centres (Iten, Lapsowar, Kapcherop, Chepkorio, Kamwosor, Awor, Tot, Kimworer, Kapcherop, Chebiemit), At household level"
70,Elgeyo Marakwet,Irish Potatoes,Input supply,Acquisition of seeds,Service providers:. Suppliers: Large and small-scale. Farmers: Small-scale. Processors: N/A. Wholesalers/retailers: N/A,"For quality production, it is a key input, to control pests and diseases,meet market requirement","Molo ADC,Kizima farm,KALRO-Tigoni, Other farmers"
71,Elgeyo Marakwet,Local chicken,Input supply,Acquisition of chicks,Service providers:Large-scale. Suppliers: Large and small-scale. Farmers: Small-scale. Processors: N/A. Wholesalers/retailers: N/A,It is the start of poultry keeping for improved variety,"Neighbours, Naivasha(KARLO), Lamu (Kuchi breed)"
72,Elgeyo Marakwet,Cattle (milk),Input supply,"Supply of feeds, drugs and mineral suppliment",Service providers:Small-scale. Suppliers: Medium-scale. Farmers: Small-scale. Processors: Small-scale. Wholesalers/retailers: Small-scale,Quantity and quality of milk production,"Iten, Chepkorio, Kapsowar, Chesoi"
73,Isiolo,Local chicken,Input supply,Extension advice,"Service providers (extension officers), small scale, Retailers- small scale, suppliers (county government)- small scale, The activity is important in disease control and management",The activity is important for ideal poultry management practices,The activity is located in every ward but in small scale due to inadequate technical personnel
74,Isiolo,Green grams,Input supply,Training,"Service providers (extension officers)- large scale, suppliers (county government)- small scale, Farmers-Medium scale, Retailers- small scale,",The activity is important in capacity building,The activity is located in every ward
75,Isiolo,Goat (meat),Input supply,Financial capital,"Service providers (Extension services, Vet services)- Small scale, suppliers (county government and development partners)- Medium scale, Farmers-Small scale, Retailers- N/A, processors-N/A","The activity is important in order to initiate stock, drugs and other services","The activity is located in Isiolo town, Garbatullah, Sericho, Oldonyiro, Merti"
76,Isiolo,Camel (milk),Input supply,Veterinary services,"Service providers (Vet services)- Medium scale, suppliers (county government and development partners)- Small scale, Farmers-Medium scale, Retailers- N/A, processors-N/A",The activity is important in order to maintain health camels and increase milk production,In every ward
77,Kajiado,Cattle (milk),Input supply,Supply of feeds,"Service providers-small scale, suppliers-small scale, farmers-small scale, processors-N/A, wholesalers/retailers-N/A",Feeding of livestock,Country wide- Trading Counties
78,Kajiado,Cattle (meat),Input supply,Breeding,"Service providers-large scale, suppliers-large scale, farmers-small scale, processors-N/A, wholesalers/retailers-N/A",To get the right breed adaptive to the climate,"County ranch at Kajiado town, Isinya rural training centre"
79,Kajiado,Tomatoes,Input supply,Provision of seed/planting materials,"Service providers-N/A, suppliers-small scale, farmers-N/A, processors-N/A, wholesalers/retailers-N/A",Availability of certified seed/planting to farmers,"Towns e.g. Kimana, Loitokitok, Rombo, Entarara, Eillafit, Kitengela, Isinya, Kajiado town, Namanga, Mashuru, Sultan hamud, Ngong, Kiserian, Rongai"
80,Kajiado,Goat (meat),Input supply,Feed  and pasture,"Service providers-small scale, suppliers-medium scale, farmers-large scale, processors-N/A, wholesalers/retailers-small scale",For maximum productivity nutrition is key. To advise o when to destock. Kajiado being Arid and semi arid hence the need to ci=onserve and preserve pasture. Livestock wildlife conflict,Across Kajiado County
81,Kakamega,Local vegetables,Input supply,Land,Farmers,A factor of production,Countywide
82,Kakamega,Maize,Input supply,Sourcing of capital,Agro financier/farmer,Capital investment is the basis for production,Banks and financial institutions
83,Kakamega,Dairy cow,Input supply,Purchasing the dairy cow,"Veterinary officers, livestock officers, livestock supplier, the farmers",Because the cow is the production unit,"Uasin Gishu and Nandi counties, Other animals can be sourced from Mukumu in Kakamega county"
84,Kakamega,Local chicken,Input supply,Acquisition of working capital,"Financial institutions e.g AFC, Farmers savings, County government, Development partners",Its a basic requirement to finance all the activities,"Financial institution, farmer groups in the entire county, SACCOS, Cooperatives, CBOs, Government agencies e.g WEF, YEDF"
85,Kericho,Local vegetables,Input supply,Seed planting material-procuring of seeds,"service providers,suppliers, farmers,processors and retailers- all are small scale",For continuous of production,"Market centres and agrovets and processors in every county, throughout the county"
86,Kericho,Local chicken,Input supply,Feeds,"service providers-medium scale,suppliers-medium scale, farmers-small csale, processors-Large scale,wholesalers/retailers-medium scale",to improve quality and productivity,All major shopping centres and subcounty headquarters(all subcounties wards)
87,Kericho,Banana,Input supply,Planting material(suckers),"service providers-small scale, suppliers-small scale, farmers-medium scale, wholesalers/retailers-small scle",Main input required for production of bananas,"Cheplanget, Kiptere,ainamoi ward"
88,Kericho,Tea,Input supply,Provision of tea clones,"service providers-large and small scale(finlays,unilever,KTDA,TRI),Suppliers-large,medium and small scale-TRI,Farmers-multi nationals, Farmers-large and small scale,wholesalers/retailers-medium and small scale",provision of high yielding varietiesprimary premium production,"TRI centre, ARD(Finalys),Unilever, individual on farm nurseries in the growing sub counties, Buren, Ainamoi, Belgut, Kipkelion"
89,Kisumu,Cassava,Input supply,seed supply,"medium scale(KALRO and extension officers),small scale(KALRO and individual farmers),farmers-small scale",it ensures production,nyando and kisumu east sub county
90,Kisumu,Local chicken,Input supply,Extension advice,"service providers-medium scale,suppliers-large scale,farmers, large scale,wholesalers/retailers-medium scale, processors-medium scale",to acquire knowledge and skills from the extension officers/experts and get market intelligence,county wide through group approach at the ward level
91,Kisumu,Cowpeas,Input supply,Land,"service providers-medium scale,suppliers-medium scale-medium scale,farmers-medium scale,wholesalers/retailers-medium scale",it is very important for planting seeds,"Nyando,Nyakach and parts of Muhoroni sub counties"
92,Kisumu,Sorghum,Input supply,Labour,"service providers-large scale,farmers-large scale",without input of labor there is no production,in the farm(land)
93,Laikipia,Indigenous chicken,Input supply,Breeding stock,Service providers: Small-scale. Suppliers: Medium-scale. Farmers: Small-scale. Processors:N/A. Wholesalers/retailers:N/A.,It is the source of the inputs. To increase productivity by decreasing/reducing inbreeding,Countywide
94,Laikipia,Cattle (milk),Input supply,Veterinary drugs-Acaricides for ticks,Service providers: Small-scale. Suppliers: Large-scale. Farmers: Small-scale. Processors:Large-scale. Wholesalers/retailers:Medium-scale.,Disease and pest control,"Nanyuki, Nyahururu, Kinamba, Matanya"
95,Laikipia,Maize,Input supply,Extension services,Service providers: Small-scale. Suppliers:. Farmers: . Processors:. Wholesalers/retailers:.,"This service enable the farmers to learn application of fertilizer/manure, seed spacing, right variety of seeds and chemicals",Farm level
96,Laikipia,Sheep,Input supply,Breeding stock,Service providers: All Suppliers:Large scale. Farmers: Medium and small scale . Processors:Medium and small scale. Wholesalers/retailers:All.,To maintain good breed of sheep,Laikipia North and Laikipia West
97,Lamu,Fish,Input supply,Procurement of modern fishing boats,"Boat makers (saggof, Jaffer, Captain Andys",Boats are important for accessing fishing grounds,Lamu town
98,Lamu,Cotton,Input supply,Acquire seeds,State department/ directirates of fibre crops,Enable production,"Agriculture ward offices, farmers cooperatives e.g Lake kenyatta farmers"
99,Lamu,Indigenous chicken,Input supply,Procurement of building materials and construction of poultry house,"Farmers, Extension officers, Labourers, Hardwares","Important for sheltering and protection of chicken against weather and predators, thieves","On farm, homestead, hardwares"
100,Machakos,Pigeon peas,Input supply,Provision of seeds,Service providers: Medium-scale. Suppliers: Medium-scale. Farmers: Small-scale. Processors: Medium-scale. Wholesalers/retailers:Small-scale.,Determines the yield that they will get,"KALRO, Market centres, County government"
101,Machakos,Mango,Input supply,Seed/planting material,Service providers: Large-scale. Suppliers: Medium-scale. Farmers: Large-scale. Processors: N/A. Wholesalers/retailers:N/A.,Clean planting materials suited for different agro-ecological zones,All the 8 sub-counties
102,Machakos,Indigenous chicken,Input supply,Veterinary services,Service providers: small-scale. Suppliers: N/A. Farmers:N/A. Processors: N/A. Wholesalers/retailers:N/A.,The services provided mainly involves vaccinations to prevent mortalities and maximize production,Countywide
103,Machakos,Green grams,Input supply,Selection of seed variety,Service providers: Large-scale. Suppliers: Large and small-scale. Farmers: All. Processors: Large-scale. Wholesalers/retailers:Medium and small-scale.,Production market,"Masinga sub-county, Yatta sub-county, Mwala sub-county, Kangundo sub-county. Lowers zones of Machakos sub-county"
104,Mandera,Sorghum,Input supply,Hiring/purchase of land,Men and youthful men farmers,Sorghum crop production,"Takaba, Banissa, Kutulu, Fino, lafey, Shambir Fatuma, Finsharo"
105,Mandera,Tomatoes,Input supply,Land,Farmers,An important factor of production,Countywide
106,Mandera,Goat (meat),Input supply,Stocking,"Farmers, Livestock traders",Breeding stock is needed for multiplication,Countywide
107,Mandera,Camel (milk),Input supply,Acquisition of starting stock,Farmers/other sources,With out stock activities will be carried out,"Takab, Banissa, Lafey, Elwak, Rhamu"
108,Marsabit,Kales,Input supply,Provision of seeds,Service providers: Medium-scale. Suppliers: Small-scale. Farmers: N/A. Processors: N/A. Wholesalers/retailers:N/A.,Recommended varieties not accessible to farmers/producers,"Moyale, Saku, Laisamis Sub-counties"
109,Marsabit,Teff,Input supply,Seed/planting material,Service providers: Small-scale. Suppliers: Small-scale. Farmers: Small-scale. Processors: N/A. Wholesalers/retailers: Small-scale.,It gives good production,"Saku sub-county, North hoor sub-county, Moyale sub-county."
110,Marsabit,Goat (meat),Input supply,Vet services,Service providers: Small-scale. Suppliers: Small-scale. Farmers: Small-scale. Processors: N/A. Wholesalers/retailers: Small-scale.,"To treat and prevent deiseases, Zoonotic diseases",Entire county
111,Marsabit,Fish,Input supply,Acquisition of fishing gears,Service providers: Large-scale. Suppliers: Medium-scale. Farmers: Small-scale. Processors: Medium-scale. Wholesalers/retailers: Small-scale.,Fishing with proper fishing gears there will be no fishing,"Loiangalam, Illiret, Elmolo, Moile, Siricho, Marti"
112,Tharaka  Nithi,Green grams,Input supply,Ordering of certified green grams seeds,Service providers: Medium and small scale. Suppliers: Small scale. Farmers: Small scale. Processors: N/A. Wholesalers/Retailers: Small scale,So that seeds can be planted before rains and increased yields,In all agrovets within and outside the county
113,Tharaka  Nithi,Local chicken,Input supply,Ordering and supply of a day old chicks,Service providers: N/A. Suppliers: Large scale. Farmers: Medium scale. Processors: N/A. Wholesalers/Retailers: N/A,Assured of high breed and improved chicks,Chuka town
114,Tharaka  Nithi,Goat (meat),Input supply,Provision of drugs,Service providers: Medium scale. Suppliers: Small scale. Farmers: Medium scale. Processors: N/A. Wholesalers/Retailers: Medium scale,To control diseases and prevention,Market centres
115,Tharaka  Nithi,Cattle (milk),Input supply,Provision of fodder and hay to cattle,Service providers: Large scale. Suppliers: Small and medium scale. Farmers: Small scale. Processors: N/A. Wholesalers/Retailers: N/A,Provides dry matter which is basic for dairy animals,"Sourced from outside the County-Nakuru, Laikipia and Mwea"
116,Uasin Gishu,Irish Potatoes,Input supply,Extension services,"service providers-small scale,suppliers-N/A, farmers-N/A, processors-N/A,wholesalers/retailers-N/A",Skills and knowledge. More yield,Countywide
117,Uasin Gishu,Local chicken,Input supply,Feeds,"service providers-N/A,suppliers-All (Large,medium,small), farmers-N/A, processors-N/A,wholesalers/retailers-N/A",Nutrition,"Farm level, Urban centres, Eldoret, Moibridge, Burnt forest"
118,Uasin Gishu,Maize,Input supply,Seeds,"service providers-N/A,suppliers-All (Large,medium,small scale), farmers-N/A, processors-N/A,wholesalers/retailers-N/A",Seeds is a key factor of production,Urban and peri-urban centres
119,Uasin Gishu,Dairy cow,Input supply,Extension advice,"service providers-All,suppliers-All (Large,medium,small scale), farmers-Small-scale, processors-Medium scale,wholesalers/retailers-N/A",Provide technical information and practical demonstration,"In farms, workshops, tradefares, ASK shows"
120,Wajir,Camel (milk),Input supply,Veterinary services (disease control),"Vet department, NGOs, Private agrovets",Disease control and prevention,All the 6 subcounty headquarters
121,Wajir,Chicken,Input supply,Livestock extension services,"Departmentof livestock/veterinary, NGOs(Wasds, Mercycorps, Apde, Islamic relief Kenya), SIDAI, National programmes (ASDSP, RLRP)","Capacity of the value actors on feeding, nursing, breeding, vaccination, marketing","Countywide (All the subcounties i.e Buna, Bute, Habaswan, Wajir west, Tarbaj, Wajir south, Wajir East)"
122,Wajir,Sorghum,Input supply,Seeds,"Agriculture department, Agrodealers, Farmers",Provision of planting materials,Countywide
123,Wajir,Water melon,Input supply,Purchase of seeds,Farmers,Production,"Kukale, Barwako, Leheley, Wichiri, Laghboqo, Habswein"
124,Bungoma,Maize,Input supply,Seed acquisition,"Agrodealers, farmers and transporters- men, women and youth",It determines the productivity of the value chain,Agro-dealers in urban centers while farmers are in rural areas
125,Bungoma,Local chicken,Input supply,Acquisition of chicks,"Farmers, hatcheries and retailing agrodealers",For breeding and job creation,Farms and groups (CIGs)
126,Bungoma,Cattle (milk),Input supply,Acquisition of land,"mostly men, but women also do it to a lesser extent","land is important for structure, pasture and fodder",Farms
127,Bungoma,Beans,Input supply,Extension services,"Extension service providers- public, privated, faith based, and NGOs","Capacity building of clients for- innovations, teams, attittude change and skills/knoledge acquisation","Farms, research stations/offices, media"
128,Kiambu,Banana,Input supply,Land,producers,increase production,producer sub-counties e.i Gatundu north and south
129,Kiambu,Cattle (milk),Input supply,Extension,"private services provides, county government staff, national government, non-gorvernment orgarnization, and model farmers",The level of skills of actors is low and hence the transfer of knowledge through extension,The whole country
130,Kiambu,Irish Potatoes,Input supply,Acquisition of certified potato seeds,"Men- 50%, women and youth- 50%",Guarantees high yields,KALRO Tigoni (for certified potato seeds)
131,Kiambu,Local chicken,Input supply,Housing,Men,Security- shelters against threats,Household level
132,Kirinyaga,Tomatoes,Input supply,"Acquisation of certified seeds, fertilizers and pesticides","Farmers, agrodealers, extension workers both government and private, financiers e.g banks, MFI, own savins and group lending ""chama"", KEPHIS, PCPB","High productivity, quality and safe produce-MRLS, soil fertility, high returns, market demand","Agrodealer shops, manure vendors residence"
133,Kirinyaga,Local chicken,Input supply,Housing,"extension, men and youth","security, shelter for chicken, for good husbandry practices",All subcounties
134,Kirinyaga,Avocado,Input supply,Information sourcing,"Extension officers, farmers, cooperatives (Avacado), processors, KEPHIS, KALRO",For acquisation of the right quality seedling varieties,"extension offices, farmers' barazas, media"
135,Kirinyaga,Banana,Input supply,Organic/ inorganic fertilizer,"farmers , manure vendors, agro-dealers, financiers,- banks, MFI, Transporters, causal labourers","Sustained soil fertility, productivity",all banana producing wards
136,Kirinyaga,Cattle (milk),Input supply,"Feeding- fodder, feeds, minerals","farmers, distributors, wholesalers/retailers","feeding is directly connected to milk production, quality feeds","farms, agrosuppliers"
137,Kisii,Banana,Input supply,Tissue culture plantlets (Hardening),Nursery operator,To generate mature sucker,"Agro plant in Kisii town, Abedare in Kisii town, and Bokimonge in Majogebor 'Abu' sub-county"
138,Kisii,Cattle (milk),Input supply,Clinical services (dehorning and treatment),"Veterinary, paravets and farmers","For the health of animal, optimum production and quality and safe products for the public",Farm level
139,Kisii,Indigenous vegetables,Input supply,"Size of land, lease","Farmer, agricultural extension officers and researchers","Land size will determine level of production i.e small, medium or large scale",Countywide
140,Kisii,Local chicken,Input supply,Hatching of chicks (use of incubitors or natural brooding),"Men, women and youth farmers",Is the major input and source of chicken,Farm level
141,Kitui,Mangoes,Input supply,Mobilization of capital,"Farmers, government agency (MOALF) , farmers cooperatives, groups, relevant stakeholders","To acquire farm inputs, pay labour, can buy or lease land","On farm at village level, county ministry of agriculture"
142,Kitui,Green grams,Input supply,Land,Farmers,It’s a factor of production,"Mwingi north, Kitui South, Kitui rural, Kitui east, mwingi central, Mwingi west, Kitui west, Kitui central"
143,Kitui,Local chicken,Input supply,Housing,Men,"protection from predators, provides shelter for security, brooding, ease of management",All subcounties
144,Kitui,Goat,Input supply,Land,Farmers,For grazing/browsing and for other infrastructure,Rest of kitui expect Kitui and mwingi municipality
145,Migori,Sweet potatoes,Input supply,Land availability,"Mostly, men are involved however, for female headed households women are involved",Its a key input for production of sweet potatoes,All subcounties where sweet potatoes are produced
146,Migori,Local vegetables,Input supply,Capital acquisition,"Financial institutions, government support, and non-state actors",To acquire financial support for farm inputs and management activities,Available across the county
147,Migori,Local chicken,Input supply,supply of chicks,chick supplier,Its the most important in local chicken value chain,isolated areas in subcounty e.g Eugene farm in Kuria west
148,Migori,Goat (meat),Input supply,Extension advice,livestock and veterinary department and other organizations,Improves farmers' skills,County
149,Murang'a,Local chicken,Input supply,Capital,Farmers,You need capital to purchase chicken,From local chamas; table banking
150,Murang'a,Cattle (milk),Input supply,Land,Farmers,For fodder production and housing structure for dairy,In the farms
151,Murang'a,Banana,Input supply,Sourcing of inputs,"Stockist, farmers, technical people","Quality, suitability, market information and improves access","T.C labs(propagators), extension officers, agrodealers stores, media-radio and print media"
152,Murang'a,Avocado,Input supply,Land acquisition,Farmers,There is need for an area for avocado farming- some do not have land so there is reason to acquire land in suitable area,"Coffee zones e.g Kandara, Garanga e.t.c"
153,Nandi,Indigenous chicken,Input supply,Housing,"farmers, technicians, extension officers, hardware, transporters","Protection against the harsh enviroment, provide security to the birds",Farms
154,Nandi,Cattle (milk),Input supply,Acquisations of adequate and good quality feeds fo r dairy cattle,"Farmers-men, women and youth; agroinput suppliers",Feeds form more than 70 percent of the cost of milk production,at farm level
